File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G09_P01-10_SPRUE PRESSURE.csv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Title,Packing-Sprue Pressure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time (sec),Run 9 : G09_P01 (MPa),Time (sec),Run 88 : G09_P02 (MPa),Time (sec),Run 89 : G09_P03 (MPa),Time (sec),Run 90 : G09_P04 (MPa),Time (sec),Run 91 : G09_P05 (MPa),Time (sec),Run 92 : G09_P06 (MPa),Time (sec),Run 93 : G09_P07 (MPa),Time (sec),Run 94 : G09_P08 (MPa),Time (sec),Run 95 : G09_P09 (MPa),Time (sec),Run 96 : G09_P10 (MPa)
1.6882,14.4533,0.844814,14.7288,0.427437,15.5994,1.04621,18.7261,1.41842,16.8572,0.718973,19.7022,1.49913,15.7264,0.489949,20.3233,1.28653,12.2779,0.955385,16.572
1.7049,14.6521,0.853457,14.9336,0.43211,15.8096,1.05784,18.9902,1.43381,17.1031,0.726915,19.9926,1.51404,15.9364,0.495469,20.5936,1.30047,12.4771,0.96519,16.8049
1.7215,14.8454,0.861965,15.1357,0.436722,16.0193,1.06924,19.2544,1.44933,17.3386,0.73486,20.2786,1.52893,16.1434,0.500892,20.868,1.31456,12.6742,0.974782,17.0392
1.73825,15.0357,0.870751,15.3391,0.441409,16.2342,1.08074,19.5054,1.46473,17.5673,0.742629,20.5694,1.54377,16.3481,0.506376,21.1433,1.3285,12.8739,0.984823,17.2748
1.75499,15.2245,0.879285,15.5538,0.44607,16.4429,1.09221,19.7579,1.48028,17.7942,0.750648,20.8512,1.55894,16.551,0.511863,21.4284,1.34261,13.0763,0.994508,17.513
1.77151,15.4093,0.887936,15.7643,0.450778,16.6563,1.10369,20.0026,1.49576,18.0222,0.758483,21.135,1.57377,16.752,0.517308,21.7264,1.35688,13.2806,1.0043,17.7392
1.78838,15.5922,0.896494,15.9785,0.45548,16.8711,1.11512,20.2437,1.51141,18.2424,0.76643,21.4111,1.58857,16.9456,0.522676,22.0164,1.37096,13.4843,1.01389,17.9691
1.80497,15.7748,0.905171,16.195,0.460169,17.0813,1.12657,20.4798,1.5269,18.465,0.774357,21.6928,1.60364,17.1396,0.528012,22.3478,1.38514,13.6878,1.02376,18.1903
1.82181,15.9541,0.913832,16.4102,0.464857,17.2948,1.13822,20.72,1.54244,18.6817,0.782274,21.9607,1.61846,17.3302,0.533227,22.5835,1.39917,13.8885,1.03366,18.4474
1.8385,16.1338,0.922582,16.6303,0.469457,17.5046,1.14968,20.9537,1.55833,18.9062,0.790212,22.2308,1.63356,17.522,0.538678,22.8853,1.4134,14.09,1.04322,18.6375
1.85519,16.3093,0.93125,16.8754,0.474131,17.7166,1.16129,21.1843,1.57389,19.1289,0.798098,22.5271,1.64859,17.7118,0.54402,23.2239,1.42757,14.2925,1.05323,18.8542
1.87218,16.4861,0.939801,17.066,0.478708,17.932,1.17268,21.4178,1.58974,19.3556,0.805814,22.7546,1.66379,17.9022,0.54926,23.4794,1.44191,14.4938,1.06308,19.0791
1.88883,16.6604,0.948479,17.2722,0.483367,18.1429,1.18429,21.6455,1.60543,19.5814,0.813618,23.0022,1.67901,18.0927,0.554515,23.746,1.45626,14.693,1.07323,19.2915
1.90609,16.839,0.957433,17.4909,0.488102,18.3609,1.19584,21.8824,1.62124,19.8044,0.821695,23.2568,1.69439,18.2859,0.560048,24.0507,1.47044,14.8863,1.08362,19.5187
