Test_ID,Theta1,Theta2,Pt
Test_247,-83.0,78.0,3910.662687847563
Test_248,6.0,27.0,5795.185060406668
Test_249,6.0,16.0,5013.545602392656
Test_250,-47.0,64.0,9722.795690861292
Test_251,-69.0,0.0,6563.6650688922755
Test_252,-82.0,-45.0,8531.391764270313
Test_253,56.0,-34.0,9018.917592963477
Test_254,-75.0,-17.0,6991.139652161381
Test_255,32.0,-60.0,8732.75541162058
Test_256,-25.0,-11.0,5840.17981276812
Test_257,65.0,80.0,5647.170221596212
Test_258,54.0,-18.0,7726.9567848106535
Test_259,-6.0,38.0,6512.083361814975
Test_260,-50.0,68.0,9567.081432562121
Test_261,-14.0,-28.0,6245.527504103815
Test_262,-57.0,76.0,7559.357733009482
Test_263,-24.0,2.0,5481.067595556632
Test_264,87.0,-65.0,5286.590681658748
Test_265,-25.0,-84.0,7255.995454276849
Test_266,-26.0,-39.0,8083.301867235183
Test_267,-33.0,-46.0,9022.182441837189
Test_268,-59.0,29.0,8522.94973684545
Test_269,-60.0,60.0,8248.11079952405
Test_270,10.0,76.0,6605.918039269294
Test_271,-30.0,50.0,8796.702087737242
Test_272,72.0,69.0,5914.521455823994
Test_273,81.0,62.0,6050.564696641284
Test_274,30.0,-25.0,7630.055451403598
Test_275,80.0,-20.0,7031.566114529592
Test_276,-88.0,70.0,4555.85416875518
Test_277,57.0,88.0,6700.8635065961225
Test_278,18.0,78.0,6988.514101721468
Test_279,-88.0,-89.0,3213.6378290081702
Test_280,-31.0,-12.0,6442.4468317275505
Test_281,-72.0,-17.0,7193.076276587128
Test_282,25.0,-74.0,7663.764703293749
Test_283,34.0,-21.0,7300.873461401293
Test_284,16.0,16.0,11751.284820193521
Test_285,-21.0,55.0,7924.035897102099
Test_286,40.0,-87.0,8249.377562653859
Test_287,-77.0,22.0,7283.929959861705
Test_288,37.0,70.0,8665.051389555934
Test_289,-9.0,44.0,6902.080233405273
Test_290,20.0,-82.0,7057.992665141844
Test_291,26.0,5.0,5776.851231913564
Test_292,71.0,-88.0,4440.48009257036
Test_293,-28.0,11.0,6157.102921295528
Test_294,-71.0,-57.0,7848.935449728033
Test_295,-84.0,-9.0,6280.833585954962
Test_296,-48.0,82.0,8639.96047552493
Test_297,-13.0,-4.0,4755.369332838716
Test_298,-19.0,-23.0,6376.712946791881
Test_299,5.0,-32.0,6167.241333249499
Test_300,51.0,46.0,10587.348986527171
