filename,test_id,theta1,theta2,pt,case
force_disp_Test_282.csv,Test_282,25.0,-74.0,7661.928819118145,Case3
force_disp_Test_283.csv,Test_283,34.0,-21.0,7418.9342705987065,Case3
force_disp_Test_284.csv,Test_284,16.0,16.0,5666.968376549154,Case3
force_disp_Test_285.csv,Test_285,-21.0,55.0,7927.092649356544,Case3
force_disp_Test_286.csv,Test_286,40.0,-87.0,8307.12792888511,Case3
force_disp_Test_287.csv,Test_287,-77.0,22.0,7289.995661164521,Case3
force_disp_Test_288.csv,Test_288,37.0,70.0,8722.215526615664,Case3
force_disp_Test_289.csv,Test_289,-9.0,44.0,6906.853491022047,Case3
force_disp_Test_290.csv,Test_290,20.0,-82.0,7056.508461354513,Case3
force_disp_Test_291.csv,Test_291,26.0,5.0,5777.273059932448,Case3
force_disp_Test_292.csv,Test_292,71.0,-88.0,4440.792589714523,Case3
force_disp_Test_293.csv,Test_293,-28.0,11.0,6153.353974245149,Case3
force_disp_Test_294.csv,Test_294,-71.0,-57.0,7888.013873499853,Case3
force_disp_Test_295.csv,Test_295,-84.0,-9.0,6274.695035308122,Case3
force_disp_Test_296.csv,Test_296,-48.0,82.0,8675.147398280957,Case3
force_disp_Test_297.csv,Test_297,-13.0,-4.0,4763.426686540797,Case3
force_disp_Test_298.csv,Test_298,-19.0,-23.0,6549.298616527987,Case3
force_disp_Test_299.csv,Test_299,5.0,-32.0,6169.698890063019,Case3
force_disp_Test_300.csv,Test_300,51.0,46.0,10662.987299966431,Case3
