geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_031,-55.0,-62.0,6831.5116320028155,1,0.5566666666666666,0.5566666666666666,0.41333333333333333,0.03,high,data/New_data/8x8_Case2/csv/force_disp_Test_031.csv,data/New_data/8x8_Case2/Ori/plot_Test_031_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_032,-19.0,-7.0,5353.345541568076,3,0.8716666666666667,0.0016666666666666668,0.12666666666666668,0.8716666666666667,low,data/New_data/8x8_Case2/csv/force_disp_Test_032.csv,data/New_data/8x8_Case2/Ori/plot_Test_032_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_033,-61.0,86.0,4856.438902414364,2,0.495,0.4533333333333333,0.495,0.051666666666666666,high,data/New_data/8x8_Case2/csv/force_disp_Test_033.csv,data/New_data/8x8_Case2/Ori/plot_Test_033_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_034,-43.0,-15.0,5831.153417960552,3,0.56,0.05,0.39,0.56,high,data/New_data/8x8_Case2/csv/force_disp_Test_034.csv,data/New_data/8x8_Case2/Ori/plot_Test_034_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_035,70.0,81.0,3611.4947923782247,2,0.4716666666666667,0.465,0.4716666666666667,0.06333333333333334,high,data/New_data/8x8_Case2/csv/force_disp_Test_035.csv,data/New_data/8x8_Case2/Ori/plot_Test_035_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_036,8.0,25.0,5470.248036442415,3,0.85,0.0033333333333333335,0.14666666666666667,0.85,low,data/New_data/8x8_Case2/csv/force_disp_Test_036.csv,data/New_data/8x8_Case2/Ori/plot_Test_036_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_037,-85.0,67.0,3789.6988880614354,1,0.475,0.475,0.47,0.055,high,data/New_data/8x8_Case2/csv/force_disp_Test_037.csv,data/New_data/8x8_Case2/Ori/plot_Test_037_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_038,-56.0,52.0,7396.421028391188,1,0.54,0.54,0.44333333333333336,0.016666666666666666,high,data/New_data/8x8_Case2/csv/force_disp_Test_038.csv,data/New_data/8x8_Case2/Ori/plot_Test_038_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_039,64.0,42.0,6235.392231474027,2,0.5583333333333333,0.3416666666666667,0.5583333333333333,0.1,high,data/New_data/8x8_Case2/csv/force_disp_Test_039.csv,data/New_data/8x8_Case2/Ori/plot_Test_039_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_040,-27.0,-54.0,6152.389268452867,2,0.595,0.10833333333333334,0.595,0.2966666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_040.csv,data/New_data/8x8_Case2/Ori/plot_Test_040_original.png
