Test_ID,Theta1,Theta2,Pt
Test_260,-50.0,68.0,12955.989049221287
Test_261,-14.0,-28.0,21004.782456813682
Test_262,-57.0,76.0,10329.062946712249
Test_263,-24.0,2.0,19691.9189183975
Test_264,87.0,-65.0,7704.507732738949
Test_265,-25.0,-84.0,19292.212069492394
Test_266,-26.0,-39.0,17615.15288396271
Test_267,-33.0,-46.0,15968.063155630864
Test_268,-59.0,29.0,17341.88221619938
Test_269,-60.0,60.0,12357.183283795895
Test_270,10.0,76.0,21611.960588256665
Test_271,-30.0,50.0,16678.592083709733
Test_272,72.0,69.0,8556.787257813003
Test_273,81.0,62.0,8656.637987841574
Test_274,30.0,-25.0,19052.604303117045
Test_275,80.0,-20.0,20254.760134148695
Test_276,-88.0,70.0,6779.553781179912
Test_277,57.0,88.0,9385.134860089873
Test_278,18.0,78.0,20206.486064621356
Test_279,-88.0,-89.0,4910.86792918435
Test_280,-31.0,-12.0,20750.043732987455
Test_281,-72.0,-17.0,21030.65079267539
Test_282,25.0,-74.0,18957.25163945338
Test_283,34.0,-21.0,19009.848796371974
Test_290,20.0,-82.0,20429.775187642066
Test_291,26.0,5.0,19104.838989224707
Test_292,71.0,-88.0,6673.224529845868
Test_293,-28.0,11.0,19825.369609052064
Test_294,-71.0,-57.0,10910.039753327488
Test_295,-84.0,-9.0,21533.987799605206
Test_296,-48.0,82.0,11897.097229080318
Test_297,-13.0,-4.0,17587.509234222816
Test_298,-19.0,-23.0,19774.53180813125
Test_299,5.0,-32.0,21926.645819261597
Test_300,51.0,46.0,15617.486585595781
Test_289,-9.0,44.0,21690.846366785077
