campaign_id,simulation_id,pair_id,phase,selection_stratum,geometry,panel_a_in,panel_b_in,case,theta1,theta2,case_formula,group_key,result_status
UV3S1,UV3S1-P029-6x4-Case2,P029,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-23,24,[[+/-theta1]/[+/-theta2]]4,Case2|-23|24,planned_blind
UV3S1,UV3S1-P029-6x4-Case3,P029,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-23,24,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-23|24,planned_blind
UV3S1,UV3S1-P029-6x4-Case4,P029,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-23,24,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-23|24,planned_blind
UV3S1,UV3S1-P029-6x8-Case2,P029,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-23,24,[[+/-theta1]/[+/-theta2]]4,Case2|-23|24,planned_blind
UV3S1,UV3S1-P029-6x8-Case3,P029,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-23,24,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-23|24,planned_blind
UV3S1,UV3S1-P029-6x8-Case4,P029,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-23,24,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-23|24,planned_blind
UV3S1,UV3S1-P029-8x8-Case2,P029,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-23,24,[[+/-theta1]/[+/-theta2]]4,Case2|-23|24,planned_blind
UV3S1,UV3S1-P029-8x8-Case3,P029,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-23,24,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-23|24,planned_blind
UV3S1,UV3S1-P029-8x8-Case4,P029,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-23,24,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-23|24,planned_blind
UV3S1,UV3S1-P030-6x4-Case2,P030,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-18,70,[[+/-theta1]/[+/-theta2]]4,Case2|-18|70,planned_blind
UV3S1,UV3S1-P030-6x4-Case3,P030,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-18,70,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-18|70,planned_blind
UV3S1,UV3S1-P030-6x4-Case4,P030,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-18,70,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-18|70,planned_blind
