case,test_id,theta1,theta2,label
Case4,Test_147,-69.0,-49.0,1
Case4,Test_148,41.0,-14.0,2
Case4,Test_149,22.0,-68.0,2
Case4,Test_150,5.0,-35.0,2
Case4,Test_151,-53.0,6.0,2
Case4,Test_152,-52.0,62.0,1
Case4,Test_153,-82.0,-88.0,1
Case4,Test_154,24.0,53.0,2
Case4,Test_155,19.0,48.0,2
Case4,Test_156,74.0,-74.0,1
Case4,Test_157,-59.0,-37.0,2
Case4,Test_158,76.0,3.0,2
Case4,Test_159,-58.0,75.0,1
Case4,Test_160,27.0,5.0,3
Case4,Test_161,47.0,-42.0,1
Case4,Test_162,-4.0,55.0,2
Case4,Test_163,-78.0,84.0,1
Case4,Test_164,-8.0,62.0,2
Case4,Test_165,6.0,-37.0,2
Case4,Test_166,-22.0,23.0,2
Case4,Test_167,-71.0,-50.0,1
Case4,Test_168,-16.0,-87.0,2
Case4,Test_169,-46.0,-76.0,1
Case4,Test_170,1.0,-16.0,3
Case4,Test_171,80.0,66.0,1
Case4,Test_172,7.0,42.0,2
Case4,Test_173,68.0,90.0,1
Case4,Test_174,-69.0,28.0,2
Case4,Test_175,66.0,18.0,2
Case4,Test_176,-56.0,-10.0,2
Case4,Test_177,65.0,-4.0,2
Case4,Test_178,79.0,72.0,1
Case4,Test_179,36.0,-84.0,2
Case4,Test_180,22.0,-27.0,2
Case4,Test_181,-47.0,5.0,2
Case4,Test_182,16.0,-60.0,2
Case4,Test_183,70.0,-63.0,1
Case4,Test_184,58.0,-22.0,2
Case4,Test_185,-4.0,7.0,3
Case4,Test_186,61.0,-55.0,1
Case4,Test_187,51.0,-25.0,2
Case4,Test_188,-30.0,-6.0,3
Case4,Test_189,-82.0,-27.0,2
Case4,Test_190,31.0,-45.0,2
Case4,Test_191,-48.0,-78.0,1
Case4,Test_192,-34.0,65.0,2
Case4,Test_193,41.0,-83.0,1
Case4,Test_194,-29.0,74.0,2
Case4,Test_195,43.0,37.0,1
Case4,Test_196,-73.0,89.0,1
Case4,Test_197,-41.0,12.0,2
Case4,Test_198,-64.0,-44.0,1
Case4,Test_199,-62.0,-53.0,1
Case4,Test_200,35.0,82.0,2
