File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G01_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 1 : G01_P01 (MPa),Time (sec),Run 11 : G01_P02 (MPa),Time (sec),Run 12 : G01_P03 (MPa),Time (sec),Run 13 : G01_P04 (MPa),Time (sec),Run 14 : G01_P05 (MPa),Time (sec),Run 15 : G01_P06 (MPa),Time (sec),Run 16 : G01_P07 (MPa),Time (sec),Run 17 : G01_P08 (MPa),Time (sec),Run 18 : G01_P09 (MPa),Time (sec),Run 19 : G01_P10 (MPa),
0.207247,3.27476,0.100166,3.95334,0.0563328,5.14067,0.139418,4.48919,0.18033,3.86942,0.0860628,4.9533,0.191782,3.69476,0.0635462,5.74715,0.163515,3.2808,0.109795,4.1287,
0.218301,3.32516,0.105505,4.01596,0.0591486,5.22253,0.146586,4.5623,0.190458,3.93468,0.0906439,5.03402,0.201642,3.75029,0.066767,5.8379,0.17245,3.32946,0.115711,4.19527,
0.22952,3.37204,0.110917,4.07374,0.0619619,5.2982,0.154076,4.63764,0.200626,4.0037,0.0952528,5.11169,0.211802,3.80367,0.0700178,5.92556,0.181578,3.37928,0.121694,4.26043,
0.242968,3.43509,0.116357,4.13273,0.0648226,5.37391,0.161576,4.70808,0.210884,4.07538,0.100057,5.18772,0.222369,3.86116,0.0732296,6.00722,0.190768,3.43104,0.127549,4.3183,
0.255587,3.48996,0.121827,4.18555,0.0677386,5.44295,0.169418,4.78233,0.220791,4.13509,0.105595,5.27883,0.234387,3.92483,0.076583,6.09109,0.200848,3.48532,0.13473,4.38817,
0.26849,3.54762,0.128493,4.25625,0.0706372,5.51457,0.178106,4.86609,0.230793,4.19439,0.110922,5.37399,0.246456,3.99121,0.080389,6.18472,0.211111,3.54263,0.141651,4.45698,
0.28119,3.6036,0.134694,4.31815,0.07402,5.59508,0.186928,4.95632,0.242661,4.2627,0.11612,5.4527,0.258609,4.05994,0.0841976,6.28159,0.22106,3.58841,0.148721,4.52263,
0.293654,3.64819,0.141031,4.37998,0.0774003,5.67712,0.195445,5.03271,0.254899,4.34155,0.121503,5.52953,0.270244,4.11405,0.0880045,6.36956,0.231537,3.64312,0.155633,4.58513,
0.306962,3.70483,0.147549,4.43832,0.0807893,5.75249,0.204299,5.11253,0.266441,4.41329,0.127009,5.60976,0.282494,4.17279,0.0919241,6.45283,0.241614,3.6863,0.162843,4.64753,
0.319802,3.75053,0.15434,4.49499,0.0841665,5.82429,0.213352,5.20158,0.278064,4.4825,0.1325,5.68566,0.294744,4.23513,0.0958294,6.53996,0.252636,3.73854,0.1703,4.70834,
0.333293,3.80055,0.161104,4.55284,0.0876651,5.89474,0.221953,5.27333,0.289519,4.53872,0.138958,5.77557,0.3086,4.29653,0.0998128,6.62059,0.264567,3.7881,0.177788,4.77011,
0.348879,3.86233,0.16905,4.62341,0.0911062,5.96265,0.232304,5.36644,0.301651,4.61318,0.145462,5.86318,0.322755,4.3682,0.103848,6.70095,0.276793,3.8493,0.186485,4.84487,
0.363851,3.92286,0.176566,4.69456,0.0945857,6.03245,0.24223,5.46027,0.315135,4.68766,0.151808,5.94703,0.336437,4.42457,0.108647,6.79513,0.288675,3.90362,0.194659,4.91933,
0.37873,3.97095,0.183906,4.75673,0.0986614,6.1081,0.252124,5.54265,0.328438,4.7636,0.158305,6.03932,0.350696,4.49391,0.11333,6.89693,0.300397,3.95374,0.202736,4.97867,
0.394406,4.03161,0.191237,4.80947,0.102744,6.18563,0.262116,5.62712,0.341941,4.84408,0.164559,6.11287,0.364428,4.55748,0.117815,6.98419,0.312173,4.00532,0.211161,5.04199,
0.409537,4.08761,0.198907,4.87478,0.106827,6.26271,0.272131,5.7359,0.355412,4.95892,0.171033,6.1912,0.378268,4.61844,0.122461,7.06992,0.324037,4.05415,0.219739,5.11359,
0.424676,4.14166,0.206364,4.93542,0.110959,6.33923,0.282234,5.87752,0.368931,5.08449,0.17853,6.28323,0.392072,4.67036,0.127185,7.15801,0.336005,4.09712,0.227998,5.17965,
0.439776,4.19402,0.213843,4.99508,0.114972,6.40982,0.292262,6.00291,0.382533,5.21741,0.186087,6.38308,0.406687,4.73987,0.131908,7.24772,0.348549,4.14445,0.236293,5.24212,
0.455022,4.24714,0.221302,5.04657,0.119112,6.47971,0.302856,6.17806,0.3963,5.35572,0.193353,6.47303,0.420846,4.83635,0.136514,7.32941,0.361327,4.19872,0.244564,5.29588,
0.472515,4.30632,0.229187,5.1077,0.123295,6.55254,0.313215,6.31893,0.410118,5.47228,0.200559,6.55525,0.435004,4.94318,0.141254,7.40975,0.37547,4.25499,0.253252,5.36195,
0.489953,4.38712,0.237948,5.16739,0.127318,6.61916,0.323994,6.50793,0.424596,5.61171,0.20787,6.63021,0.451283,5.0607,0.146776,7.51079,0.389415,4.31061,0.262924,5.42527,
0.508476,4.49082,0.247045,5.23766,0.132157,6.70058,0.334434,6.68241,0.439299,5.76009,0.215564,6.71964,0.467424,5.1753,0.152087,7.60758,0.403369,4.36296,0.272928,5.5004,
0.527206,4.60583,0.255868,5.30469,0.136825,6.77763,0.346406,6.82524,0.454166,5.90979,0.223016,6.79503,0.484547,5.30683,0.157396,7.6909,0.417418,4.41519,0.282624,5.56866,
0.546066,4.72718,0.264608,5.3657,0.14158,6.85208,0.358965,7.0191,0.471185,6.06615,0.230736,6.87407,0.501813,5.44846,0.162938,7.77584,0.431591,4.46711,0.292264,5.62808,
0.56496,4.85151,0.273439,5.42767,0.146371,6.92632,0.371534,7.21466,0.488152,6.24135,0.238571,6.96589,0.519146,5.59159,0.168566,7.86406,0.445951,4.51329,0.302389,5.69881,
0.583922,4.97669,0.282243,5.48713,0.151209,6.99968,0.384177,7.40672,0.505288,6.40655,0.246174,7.05639,0.536642,5.73545,0.174219,7.9528,0.460901,4.5691,0.312285,5.76595,
0.602966,5.10388,0.291127,5.54778,0.15605,7.07144,0.396818,7.5944,0.522428,6.56966,0.254058,7.20421,0.554181,5.87996,0.179889,8.03961,0.475345,4.62262,0.322069,5.82214,
0.622164,5.2306,0.300037,5.60061,0.16092,7.14347,0.409646,7.77951,0.539785,6.72942,0.262803,7.36884,0.571856,6.02193,0.185573,8.13278,0.489765,4.6681,0.332365,5.88542,
0.64438,5.36254,0.309385,5.66516,0.165794,7.21501,0.422392,7.96337,0.557097,6.886,0.271425,7.55659,0.589461,6.16373,0.191089,8.21421,0.504938,4.72422,0.342785,5.95695,
0.666132,5.51177,0.318473,5.71957,0.170812,7.28582,0.43419,8.16921,0.573972,7.03779,0.280007,7.73961,0.606296,6.30902,0.196773,8.30312,0.519186,4.77701,0.35284,6.02182,
0.686445,5.66915,0.328074,5.78392,0.175727,7.35565,0.445124,8.43073,0.589654,7.22939,0.288709,7.92771,0.621645,6.51834,0.202177,8.3821,0.532206,4.84858,0.362769,6.08555,
0.70514,5.86659,0.338339,5.8471,0.180463,7.44452,0.456036,8.59623,0.604387,7.43981,0.297132,8.0963,0.636824,6.65999,0.207298,8.53084,0.545119,4.95599,0.373635,6.15346,
0.723709,6.0022,0.347901,5.97959,0.184812,7.64937,0.466931,8.78589,0.619295,7.58441,0.304989,8.3527,0.651856,6.81058,0.212211,8.76213,0.557863,5.02193,0.383962,6.32175,
0.742151,6.15214,0.356629,6.10572,0.188992,7.73494,0.477736,8.97438,0.634026,7.74841,0.312727,8.62885,0.666885,6.95799,0.216919,8.84049,0.570825,5.09842,0.394095,6.44425,
0.760479,6.29646,0.365638,6.18778,0.193258,7.84159,0.488504,9.15657,0.648623,7.90916,0.320375,8.81475,0.681794,7.1063,0.2218,8.96574,0.583837,5.17177,0.404189,6.59411,
0.778713,6.44111,0.37486,6.29074,0.197572,7.94933,0.499183,9.34071,0.663054,8.06762,0.328164,9.03772,0.696631,7.25569,0.226714,9.08292,0.597048,5.26313,0.41421,6.74621,
0.796793,6.58702,0.383957,6.38565,0.201866,8.05531,0.509812,9.5154,0.677414,8.22184,0.335907,9.25673,0.711392,7.39922,0.231595,9.21191,0.610177,5.36995,0.424221,6.91426,
0.814815,6.7299,0.393058,6.48625,0.206149,8.16639,0.52039,9.69468,0.691766,8.37389,0.343631,9.47671,0.726089,7.54404,0.236448,9.35454,0.623007,5.48109,0.434226,7.08068,
