case,test_id,label,theta1,theta2,pt,n_points,transition_index,transition_x_ratio,transition_load_ratio,post_points,post_fraction,pre_slope,post_slope_full,post_slope_early,post_slope_tail,post_slope_ratio,post_slope_drop,post_r2,post_nrmse,tail_r2,quad_a,abs_quad_a,slope_drift,mean_abs_curvature,max_abs_curvature,data_quality_code
Case3,Test_021,2,-2.0,-69.0,10946.161437,1001,91,0.091,0.2597786247813854,890,0.8891108891108891,870312.901467958,218085.15393202074,312531.5918201914,161449.87037981572,0.5165873614232975,0.48341263857670247,0.9887258135150306,0.030013334068033623,0.9997617964095352,-0.39690496940157716,0.39690496940157716,0.6757230040164506,1.0633370247685026,9.012639703862533,0
Case3,Test_022,2,-19.0,-70.0,12126.1621855,1001,130,0.13,0.32070359018477274,851,0.8501498501498501,672173.6112344642,188781.3654635045,255526.1852170601,148213.4903927096,0.5800324936045504,0.4199675063954495,0.9926235718821201,0.02434312853188571,0.9998429776636655,-0.32213205964588765,0.32213205964588765,0.556714900859306,0.9220207987016042,7.733321401986245,0
Case3,Test_023,2,-49.0,30.0,13141.5343455,1001,258,0.258,0.4851232919030744,723,0.7222777222777222,358822.9439653926,120182.07113119014,157350.93391574835,101867.1137388872,0.6473880466030835,0.35261195339691653,0.9956395699387091,0.01865852313556778,0.9999342849732089,-0.24336409402996867,0.24336409402996867,0.4509872704055961,0.7489374794803324,4.464900963701211,0
Case3,Test_024,2,59.0,-11.0,11242.0417724,1001,104,0.104,0.27825920909357316,877,0.8761238761238761,783359.2490623356,206623.68291220703,292830.7009412847,156960.87610108845,0.5360123634460056,0.4639876365539945,0.9902703432413863,0.027832872034635636,0.9998012579036327,-0.36728071393432415,0.36728071393432415,0.6405319313498027,1.0515481318766355,8.739681858552444,0
Case3,Test_025,2,-11.0,53.0,11303.2786439,1001,102,0.102,0.2821898810872847,879,0.8781218781218781,800452.0147041571,202899.25995312483,290354.6907051001,153420.6150054164,0.5283903443503817,0.4716096556496183,0.9898608079448978,0.02837964300688215,0.9997950783488389,-0.3741049598196608,0.3741049598196608,0.6564305699197491,1.0722123548667368,8.7940632406237,0
Case3,Test_026,1,-56.0,40.0,14645.6488478,1001,492,0.492,0.6879750025379074,489,0.4885114885114885,207429.86247270208,84661.12428882573,103293.45106859719,75158.33312944087,0.7276195378497734,0.2723804621502266,0.9975503103223508,0.014104694686184591,0.9999743659505014,-0.18439013244045313,0.18439013244045313,0.3269475129413473,0.472095207654925,1.6704582231796508,0
Case3,Test_027,2,62.0,-28.0,13035.0377729,1001,205,0.205,0.4173152769436076,776,0.7752247752247752,450909.7363284685,146631.59356295422,191621.1809566038,121906.75261640508,0.6361862086843789,0.36381379131562114,0.9951902232877448,0.019641452290284783,0.9999103051230909,-0.25826227698403575,0.25826227698403575,0.46563794768983535,0.7855748138259898,5.373711711186274,0
Case3,Test_028,2,-60.0,15.0,11649.3161919,1001,117,0.117,0.299018398039018,864,0.8631368631368631,718662.8248304358,196947.54245163177,274170.7240631101,152243.19045504325,0.5552860940032354,0.4447139059967646,0.9914411339417326,0.026134616871617777,0.9998260549175118,-0.3449639438590469,0.3449639438590469,0.6040008533137556,0.9998665936811143,8.130257937211468,0
Case3,Test_029,2,-86.0,4.0,10320.7757557,1001,89,0.089,0.2518332516140689,892,0.8911088911088911,849057.2868093617,214772.68320805847,306100.0061470452,155171.4042500002,0.5069304186013591,0.49306958139864093,0.9876193605980412,0.031597811248704366,0.9997327517233564,-0.41947967657147417,0.41947967657147417,0.6874941785659064,1.0425078048778373,9.278099146424779,0
Case3,Test_030,2,-45.0,-21.0,11546.7100145,1001,142,0.142,0.34425408987140366,839,0.8381618381618382,581612.1365942258,162754.4709472956,227080.38683985866,127796.05313265501,0.5627789123980099,0.43722108760199013,0.9919963411853603,0.025213342986759337,0.9998478279167364,-0.3314386498815245,0.3314386498815245,0.5938749526512508,0.990806066543873,7.630579980032962,0
Case3,Test_031,1,39.0,-42.0,15017.7750069,1001,466,0.466,0.6941493504047734,515,0.5144855144855145,223244.46366455383,79371.92267452262,98298.4255218539,71376.05086870995,0.7261159117227314,0.2738840882772687,0.9976713830218434,0.013678847916358495,0.9999807441006343,-0.17595309323994662,0.17595309323994662,0.3325300559566594,0.5414498851179947,2.8637456615624615,0
Case3,Test_032,2,-68.0,32.0,13277.3287505,1001,238,0.238,0.4537925070196182,743,0.7422577422577422,392953.92297756753,134666.2501547121,173768.97393367568,113749.21830140032,0.6546002760240516,0.3453997239759484,0.9958049482016289,0.018354700958736096,0.9999286393918216,-0.2409053780799408,0.2409053780799408,0.43671480356952314,0.7261292633128019,4.583688775468204,0
Case3,Test_033,2,30.0,-72.0,13215.3548123,1001,207,0.207,0.4222923026698353,774,0.7732267732267732,452271.0907841686,146488.0932736253,189250.20998280196,122270.1847900711,0.6460768778073344,0.3539231221926657,0.9955002860583075,0.019029046086433826,0.9999140082382678,-0.2507086422734109,0.2507086422734109,0.44852919219318105,0.7571047307047815,5.447325695648374,0
Case3,Test_034,1,65.0,-56.0,12354.3019315,1001,735,0.735,0.8727192551108829,246,0.24575424575424576,115413.9375960239,43638.667504841134,50033.88078007769,41296.72863194656,0.8253752854683608,0.1746247145316392,0.999220380986026,0.007982101976427876,0.999996436496525,-0.10083706466336019,0.10083706466336019,0.19735386510536884,0.32932885605573975,1.7677577329509973,0
Case3,Test_035,1,62.0,45.0,14991.9020856,1001,610,0.61,0.7650622199491957,371,0.3706293706293706,171004.8144301419,76628.68788955793,90494.15509991278,68570.83598754,0.7577377335788408,0.24226226642115922,0.9980389898798823,0.012688126008607801,0.9999771211674681,-0.16699173666057499,0.16699173666057499,0.28271318918554783,0.3781346887454267,0.9403532316465544,0
Case3,Test_036,1,-51.0,58.0,13740.0927033,1001,731,0.731,0.8693990161853027,250,0.24975024975024976,126960.02390484046,50271.92940605573,48998.49627421998,49435.31510981448,1.0089149436984728,-0.008914943698472837,0.9999822182919443,0.0012293776159018118,0.9999970037509,-0.00498817253379829,0.00498817253379829,0.03412066526482041,0.1147677776944345,1.3526519900799059,0
Case3,Test_037,1,82.0,-75.0,6153.88558573,1001,427,0.427,0.6535824076757201,554,0.5534465534465535,98901.16068223496,37300.995985713256,40505.7592802153,35518.76459193935,0.8768818366352211,0.12311816336477885,0.9996375567962744,0.005469324055508566,0.999993247118668,-0.07181361900649647,0.07181361900649647,0.13283388408678817,0.2606387379407025,2.7857145230067886,0
Case3,Test_038,1,-37.0,59.0,14336.8383295,1001,377,0.377,0.5976741216932252,604,0.6033966033966034,266023.8815857618,99817.11223502291,124806.3979342345,87479.4691769533,0.7009213519891002,0.29907864801089973,0.9970519293742671,0.015417639369779041,0.9999639082462347,-0.20114072321234544,0.20114072321234544,0.3669005466131509,0.5725411612819599,2.7101159264869352,0
Case3,Test_039,2,-35.0,-29.0,12075.4754961,1001,193,0.193,0.4264181760938977,788,0.7872127872127872,439379.2431581648,128740.42700860128,172764.649583008,103930.28971754509,0.6015715018575594,0.3984284981424406,0.99373411230434,0.02240724793872346,0.9998783372685894,-0.2951374872751405,0.2951374872751405,0.5228953313540408,0.8496429568095837,6.358374476685981,0
Case3,Test_040,2,84.0,24.0,11962.4358869,1001,146,0.146,0.337588871589657,835,0.8341658341658341,586745.8851531779,176372.93833769538,233486.1645358371,140906.3064758941,0.6034888908985732,0.3965111091014269,0.9937257592474811,0.022490890175320556,0.9998608354671075,-0.29790660205019276,0.29790660205019276,0.5155570070750842,0.8620489603264134,7.163000296818723,0
Case3,Test_041,2,12.0,88.0,10994.1085219,1001,100,0.1,0.27455960330571305,881,0.8801198801198801,797319.4860149294,206794.19457421525,286677.6581048314,153884.41174364727,0.5367855059265738,0.46321449407342624,0.9898259039774062,0.028687536669150943,0.999769915318681,-0.38111148256282057,0.38111148256282057,0.6297522704317583,0.9525547247045697,7.717364645382077,0
Case3,Test_042,2,-80.0,36.0,13227.6951324,1001,263,0.263,0.47793709540273005,718,0.7172827172827173,353092.04187100305,126042.5690646102,161510.16843237384,107449.69983505874,0.665281331063989,0.33471866893601093,0.9961362130421292,0.0176209287921765,0.9999378839052933,-0.23093154112877498,0.23093154112877498,0.4203523623117571,0.6879380303575335,3.9365745822653935,0
Case3,Test_043,1,90.0,52.0,10254.8851689,1001,418,0.418,0.6580325721995126,563,0.5624375624375625,171635.29392519878,59611.94778681185,67512.47874140539,55448.77299094686,0.8213114675189691,0.1786885324810309,0.9991761830487463,0.008213564021433667,0.999986437376483,-0.10749656223297689,0.10749656223297689,0.20034185540389893,0.38078589954027137,3.340825582836146,0
Case3,Test_044,2,-83.0,8.0,10548.5869583,1001,93,0.093,0.25880484850606555,888,0.8871128871128872,824346.779758214,212773.91802210073,300753.0647552609,156229.08790216452,0.5194596704419177,0.4805403295580824,0.9887065897168165,0.03015545561605938,0.9997547170784069,-0.40012519137837416,0.40012519137837416,0.6644726172734424,1.0301916393425208,9.205418535265835,0
Case3,Test_045,2,77.0,-20.0,11758.3743013,1001,129,0.129,0.3143995373792961,852,0.8511488511488512,654461.8503041487,188613.07444948587,254718.71106394834,147861.9451144776,0.5804911013284617,0.4195088986715383,0.9926360646798383,0.02433704747684265,0.999840845662675,-0.32229219500280853,0.32229219500280853,0.5551532748593253,0.9194831534962502,7.785711221024826,0
Case3,Test_046,1,56.0,-82.0,9755.35869186,1001,474,0.474,0.7036253742140864,507,0.5064935064935064,142823.60149346667,50859.81443981069,56940.546299767004,47925.846438136025,0.8416822379228233,0.15831776207717674,0.99939252385458,0.007055484688704171,0.9999913266101729,-0.09163495538867476,0.09163495538867476,0.1754913343843318,0.3426663799475312,3.038025154182037,0
Case3,Test_047,2,-33.0,64.0,13728.3061273,1001,267,0.267,0.49102054299001946,714,0.7132867132867133,361850.798211456,124684.69232407094,159466.6234775895,106524.16601041918,0.6680028941942792,0.33199710580572084,0.9962341519657512,0.01739485625405971,0.9999394533396732,-0.22789778147294062,0.22789778147294062,0.4161509080192859,0.6921210891892212,4.273006010020481,0
Case3,Test_048,3,-23.0,-2.0,7396.39157645,1001,40,0.04,0.1801289735630817,941,0.9400599400599401,1329753.8528251853,215865.9877958514,382292.6027158015,124894.65335523203,0.3266991107543858,0.6733008892456143,0.969258226344114,0.04886988687539274,0.9986896751120117,-0.6419069778994914,0.6419069778994914,1.1346184218765825,1.6532430078807419,8.749616620915958,0
Case3,Test_049,2,4.0,78.0,10746.0495732,1001,90,0.09,0.2586495075474595,891,0.8901098901098901,864015.0403708348,215996.29490079402,307780.8492665168,158007.57849336806,0.5133769007068548,0.4866230992931452,0.9882599629796309,0.03072143942925299,0.9997473736491014,-0.40728936492205864,0.40728936492205864,0.6775621047694145,1.0337761695390706,8.875647710348403,0
Case3,Test_050,2,-13.0,60.0,11613.9478453,1001,109,0.109,0.2911079065221663,872,0.8711288711288712,767328.6183874467,201840.03714645337,282937.2437342701,154652.7447787271,0.546597339882106,0.45340266011789404,0.9909013482635091,0.026939246750091652,0.99981298095201,-0.35568620295323083,0.35568620295323083,0.6198633794055513,1.0275276750970217,8.860938571135193,0
Case3,Test_051,2,-54.0,22.0,12202.1882605,1001,155,0.155,0.35686740391551436,826,0.8251748251748252,561903.8493269656,165843.37113074507,225171.51497084182,133117.4560635611,0.5911824862962747,0.40881751370372527,0.9934068665763733,0.022928435283770813,0.9998710032720606,-0.30163045742204536,0.30163045742204536,0.5418904762865007,0.9255701938954383,7.098594414476793,0
Case3,Test_052,3,14.0,-3.0,6306.63837996,1001,29,0.029,0.15707362831143312,952,0.951048951048951,1554799.7745563665,212585.46562373222,404690.8262208894,103532.70945983942,0.2558316194776526,0.7441683805223474,0.9587169986737248,0.0565832822304524,0.9963667963147581,-0.7442478328131773,0.7442478328131773,1.3400648342059094,1.9894775305841954,9.461616366467979,0
