case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case4,Test_161,-43.0,-45.0,10437.139162342337,1,0.5683333333333334,0.5683333333333334,0.425,0.006666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_161.csv,data/New_Data/6x8_Case4/Original/plot_Test_161_original.png
Case4,Test_169,58.0,-70.0,7739.8607075403825,1,0.825,0.825,0.17333333333333334,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_169.csv,data/New_Data/6x8_Case4/Original/plot_Test_169_original.png
Case4,Test_173,82.0,-55.0,7446.86356777576,1,0.7516666666666667,0.7516666666666667,0.245,0.0033333333333333335,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_173.csv,data/New_Data/6x8_Case4/Original/plot_Test_173_original.png
Case4,Test_175,-73.0,85.0,4298.531024147931,1,0.6433333333333333,0.6433333333333333,0.33166666666666667,0.025,high,data/New_Data/csv_6x8_Case4/force_disp_Test_175.csv,data/New_Data/6x8_Case4/Original/plot_Test_175_original.png
Case4,Test_192,89.0,-86.0,3263.3188186067814,1,0.6,0.6,0.3383333333333333,0.06166666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_192.csv,data/New_Data/6x8_Case4/Original/plot_Test_192_original.png
Case4,Test_198,-82.0,-53.0,7928.287032672046,1,0.6483333333333333,0.6483333333333333,0.35,0.0016666666666666668,high,data/New_Data/csv_6x8_Case4/force_disp_Test_198.csv,data/New_Data/6x8_Case4/Original/plot_Test_198_original.png
Case4,Test_205,-58.0,-50.0,10405.310858162955,1,0.9766666666666667,0.9766666666666667,0.021666666666666667,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_205.csv,data/New_Data/6x8_Case4/Original/plot_Test_205_original.png
Case4,Test_209,58.0,-69.0,7790.152050882739,1,0.8583333333333333,0.8583333333333333,0.14166666666666666,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_209.csv,data/New_Data/6x8_Case4/Original/plot_Test_209_original.png
Case4,Test_211,55.0,-59.0,8977.951214951056,1,0.9916666666666667,0.9916666666666667,0.006666666666666667,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_211.csv,data/New_Data/6x8_Case4/Original/plot_Test_211_original.png
Case4,Test_212,-63.0,54.0,9102.073316116324,1,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_212.csv,data/New_Data/6x8_Case4/Original/plot_Test_212_original.png
Case4,Test_221,74.0,-56.0,8068.908987704633,1,0.9683333333333334,0.9683333333333334,0.03166666666666667,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_221.csv,data/New_Data/6x8_Case4/Original/plot_Test_221_original.png
Case4,Test_243,-63.0,-63.0,7489.867644310873,1,0.8816666666666667,0.8816666666666667,0.11833333333333333,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_243.csv,data/New_Data/6x8_Case4/Original/plot_Test_243_original.png
Case4,Test_244,85.0,-58.0,6585.13957749185,1,0.7316666666666667,0.7316666666666667,0.265,0.0033333333333333335,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_244.csv,data/New_Data/6x8_Case4/Original/plot_Test_244_original.png
Case4,Test_246,60.0,61.0,8016.524719105659,1,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_246.csv,data/New_Data/6x8_Case4/Original/plot_Test_246_original.png
Case4,Test_247,-83.0,78.0,3910.3576392995824,1,0.59,0.59,0.375,0.035,high,data/New_Data/csv_6x8_Case4/force_disp_Test_247.csv,data/New_Data/6x8_Case4/Original/plot_Test_247_original.png
Case4,Test_257,65.0,80.0,5628.329122277541,1,0.675,0.675,0.32,0.005,high,data/New_Data/csv_6x8_Case4/force_disp_Test_257.csv,data/New_Data/6x8_Case4/Original/plot_Test_257_original.png
Case4,Test_260,-50.0,68.0,9565.940024932668,1,0.5666666666666667,0.5666666666666667,0.43166666666666664,0.0016666666666666668,high,data/New_Data/csv_6x8_Case4/force_disp_Test_260.csv,data/New_Data/6x8_Case4/Original/plot_Test_260_original.png
Case4,Test_262,-57.0,76.0,7558.521585328418,1,0.935,0.935,0.065,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_262.csv,data/New_Data/6x8_Case4/Original/plot_Test_262_original.png
Case4,Test_264,87.0,-65.0,5286.27500763011,1,0.7366666666666667,0.7366666666666667,0.25833333333333336,0.005,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_264.csv,data/New_Data/6x8_Case4/Original/plot_Test_264_original.png
Case4,Test_269,-60.0,60.0,8248.923787334112,1,0.9883333333333333,0.9883333333333333,0.011666666666666667,0.0,low,data/New_Data/csv_6x8_Case4/force_disp_Test_269.csv,data/New_Data/6x8_Case4/Original/plot_Test_269_original.png
Case4,Test_272,72.0,69.0,5881.108702172178,1,0.7183333333333334,0.7183333333333334,0.27666666666666667,0.005,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_272.csv,data/New_Data/6x8_Case4/Original/plot_Test_272_original.png
Case4,Test_273,81.0,62.0,6032.558029957592,1,0.6,0.6,0.395,0.005,high,data/New_Data/csv_6x8_Case4/force_disp_Test_273.csv,data/New_Data/6x8_Case4/Original/plot_Test_273_original.png
Case4,Test_276,-88.0,70.0,4555.869102414041,1,0.6683333333333333,0.6683333333333333,0.32,0.011666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_276.csv,data/New_Data/6x8_Case4/Original/plot_Test_276_original.png
Case4,Test_277,57.0,88.0,6677.546177430286,1,0.6366666666666667,0.6366666666666667,0.3616666666666667,0.0016666666666666668,high,data/New_Data/csv_6x8_Case4/force_disp_Test_277.csv,data/New_Data/6x8_Case4/Original/plot_Test_277_original.png
Case4,Test_279,-88.0,-89.0,3213.761617080221,1,0.5133333333333333,0.5133333333333333,0.41833333333333333,0.06833333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_279.csv,data/New_Data/6x8_Case4/Original/plot_Test_279_original.png
Case4,Test_292,71.0,-88.0,4440.815415954187,1,0.715,0.715,0.26166666666666666,0.023333333333333334,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_292.csv,data/New_Data/6x8_Case4/Original/plot_Test_292_original.png
Case4,Test_294,-71.0,-57.0,7786.067680964321,1,0.715,0.715,0.2833333333333333,0.0016666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_294.csv,data/New_Data/6x8_Case4/Original/plot_Test_294_original.png
Case4,Test_300,51.0,46.0,10588.056327098047,1,0.8616666666666667,0.8616666666666667,0.13666666666666666,0.0016666666666666668,low,data/New_Data/csv_6x8_Case4/force_disp_Test_300.csv,data/New_Data/6x8_Case4/Original/plot_Test_300_original.png
