case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case2,Test_106,-12.0,43.0,7102.674060997715,2,0.5466666666666666,0.06833333333333333,0.5466666666666666,0.385,high,data/New_Data/csv_6x8_Case2/force_disp_Test_106.csv,data/New_Data/6x8_Case2/Original/plot_Test_106_original.png
Case2,Test_107,69.0,8.0,6726.984665137455,2,0.6666666666666666,0.07833333333333334,0.6666666666666666,0.255,high,data/New_Data/csv_6x8_Case2/force_disp_Test_107.csv,data/New_Data/6x8_Case2/Original/plot_Test_107_original.png
Case2,Test_108,46.0,-72.0,9080.962746517927,1,0.505,0.505,0.4683333333333333,0.02666666666666667,high,data/New_Data/csv_6x8_Case2/force_disp_Test_108.csv,data/New_Data/6x8_Case2/Original/plot_Test_108_original.png
Case2,Test_109,-69.0,17.0,7277.892356259281,2,0.7433333333333333,0.06666666666666667,0.7433333333333333,0.19,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_109.csv,data/New_Data/6x8_Case2/Original/plot_Test_109_original.png
Case2,Test_110,-51.0,1.0,7005.36621778317,2,0.5983333333333334,0.03666666666666667,0.5983333333333334,0.365,high,data/New_Data/csv_6x8_Case2/force_disp_Test_110.csv,data/New_Data/6x8_Case2/Original/plot_Test_110_original.png
Case2,Test_111,7.0,87.0,6103.14862576846,2,0.7133333333333334,0.075,0.7133333333333334,0.21166666666666667,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_111.csv,data/New_Data/6x8_Case2/Original/plot_Test_111_original.png
Case2,Test_112,21.0,-8.0,5363.467522077733,3,0.8616666666666667,0.008333333333333333,0.13,0.8616666666666667,low,data/New_Data/csv_6x8_Case2/force_disp_Test_112.csv,data/New_Data/6x8_Case2/Original/plot_Test_112_original.png
Case2,Test_113,35.0,-2.0,6309.8617823436425,3,0.7883333333333333,0.02666666666666667,0.185,0.7883333333333333,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_113.csv,data/New_Data/6x8_Case2/Original/plot_Test_113_original.png
Case2,Test_114,-35.0,-78.0,8150.581691825827,2,0.69,0.2,0.69,0.11,high,data/New_Data/csv_6x8_Case2/force_disp_Test_114.csv,data/New_Data/6x8_Case2/Original/plot_Test_114_original.png
Case2,Test_115,22.0,74.0,7444.80656374171,2,0.8083333333333333,0.07666666666666666,0.8083333333333333,0.115,medium,data/New_Data/csv_6x8_Case2/force_disp_Test_115.csv,data/New_Data/6x8_Case2/Original/plot_Test_115_original.png
