File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 8 : G08_P01 (MPa),Time (sec),Run 79 : G08_P02 (MPa),Time (sec),Run 80 : G08_P03 (MPa),Time (sec),Run 81 : G08_P04 (MPa),Time (sec),Run 82 : G08_P05 (MPa),Time (sec),Run 83 : G08_P06 (MPa),Time (sec),Run 84 : G08_P07 (MPa),Time (sec),Run 85 : G08_P08 (MPa),Time (sec),Run 86 : G08_P09 (MPa),Time (sec),Run 87 : G08_P10 (MPa),
0.616023,6.65176,0.325766,7.05025,0.16385,7.33024,0.399365,9.62998,0.521725,8.14278,0.286693,10.5476,0.568091,7.654,0.187164,9.75521,0.496107,5.76195,0.353309,7.67421,
0.633177,6.83256,0.334725,7.28116,0.16834,7.48072,0.410223,9.85322,0.536492,8.34003,0.29424,10.8153,0.583853,7.84919,0.192243,10.0614,0.509822,5.94421,0.362885,7.89744,
0.650393,7.01194,0.343754,7.50712,0.17278,7.63576,0.420949,10.0661,0.550971,8.53908,0.30181,11.0762,0.60004,8.04825,0.197262,10.367,0.523783,6.12429,0.372552,8.1273,
0.667344,7.18864,0.352982,7.73443,0.177182,7.79636,0.431708,10.2782,0.565479,8.73317,0.309463,11.3431,0.615645,8.25311,0.202342,10.6773,0.53783,6.308,0.382295,8.35341,
0.684523,7.36271,0.361988,7.96439,0.181626,7.95872,0.442489,10.4934,0.579961,8.92593,0.316994,11.6,0.631167,8.44193,0.207321,10.9811,0.551491,6.49006,0.391847,8.58226,
0.701583,7.53877,0.370945,8.19253,0.186104,8.11521,0.453328,10.7108,0.59468,9.12214,0.324652,11.8558,0.64681,8.63832,0.212366,11.2845,0.564871,6.6668,0.401444,8.80917,
0.718718,7.71174,0.379806,8.40858,0.190561,8.27957,0.464224,10.9292,0.60936,9.31789,0.332298,12.1241,0.662192,8.82783,0.217406,11.5823,0.578513,6.8417,0.410883,9.02157,
0.736044,7.88924,0.388748,8.63274,0.194893,8.46453,0.474985,11.1472,0.623845,9.52081,0.339815,12.3765,0.678076,9.03034,0.222424,11.8793,0.592074,7.02503,0.420708,9.25505,
0.753234,8.06775,0.39762,8.85256,0.199273,8.67405,0.485438,11.3578,0.63806,9.70825,0.347379,12.6246,0.693323,9.22365,0.227496,12.1792,0.605577,7.19484,0.430035,9.47227,
0.770147,8.24524,0.406454,9.0681,0.203671,8.89083,0.49594,11.5679,0.652484,9.90036,0.354846,12.8631,0.708734,9.40823,0.232581,12.4726,0.619253,7.37608,0.439433,9.67984,
0.786859,8.41391,0.41522,9.28029,0.208073,9.1255,0.506462,11.7766,0.666751,10.0906,0.362442,13.1105,0.72446,9.60618,0.237729,12.7659,0.632505,7.55014,0.448755,9.8917,
0.803674,8.58614,0.423911,9.48656,0.212436,9.35123,0.517361,11.9982,0.681456,10.2947,0.370111,13.3562,0.73968,9.79852,0.242785,13.0616,0.645686,7.71859,0.458174,10.0991,
0.820431,8.76162,0.432895,9.69592,0.216884,9.58809,0.527919,12.2256,0.695735,10.4957,0.37775,13.613,0.755449,9.99542,0.247841,13.3476,0.658968,7.8904,0.467555,10.3039,
0.837384,8.93636,0.441963,9.91603,0.221336,9.8306,0.538593,12.4452,0.709927,10.6911,0.385174,13.8549,0.771253,10.2029,0.25284,13.6346,0.672186,8.05598,0.477237,10.5202,
0.854247,9.11085,0.450729,10.1302,0.225792,10.0795,0.549188,12.6636,0.724681,10.9007,0.392859,14.1007,0.786685,10.4021,0.2579,13.9149,0.685762,8.22735,0.486652,10.7321,
0.871576,9.29095,0.45948,10.3303,0.230275,10.3302,0.560093,12.8927,0.738954,11.1035,0.400471,14.3562,0.802455,10.6075,0.262926,14.1958,0.699479,8.40635,0.496266,10.9497,
0.888978,9.48003,0.468539,10.5397,0.234736,10.582,0.570897,13.1272,0.753771,11.3152,0.408214,14.6102,0.817868,10.8115,0.267987,14.4748,0.712848,8.58419,0.505809,11.1576,
0.905763,9.66649,0.477597,10.752,0.239154,10.8314,0.581765,13.3677,0.768154,11.5247,0.4159,14.8663,0.833246,11.0143,0.273052,14.7614,0.726342,8.75693,0.515519,11.3748,
0.922906,9.84937,0.486645,10.9668,0.2436,11.0875,0.592426,13.6003,0.782411,11.7374,0.423545,15.1242,0.848785,11.2176,0.277976,15.0297,0.73975,8.93324,0.525315,11.5938,
0.939784,10.0363,0.495761,11.19,0.248074,11.3365,0.603092,13.8364,0.796929,11.9456,0.431296,15.3857,0.864202,11.4249,0.282998,15.2971,0.753204,9.11102,0.535085,11.8225,
0.95689,10.2219,0.504632,11.4004,0.252539,11.5926,0.61381,14.0665,0.811475,12.1591,0.439086,15.6506,0.879722,11.6243,0.288072,15.5771,0.766694,9.28502,0.544598,12.0364,
0.973935,10.4098,0.513676,11.6156,0.25703,11.8455,0.624778,14.3051,0.825843,12.3676,0.44684,15.9173,0.89575,11.8403,0.293166,15.8552,0.78063,9.47041,0.554309,12.2541,
0.990965,10.5929,0.522743,11.8363,0.261481,12.1004,0.635681,14.5591,0.840668,12.583,0.454599,16.185,0.911579,12.0518,0.298247,16.1363,0.793983,9.65394,0.564014,12.4805,
1.00852,10.7894,0.531858,12.0566,0.265946,12.353,0.646423,14.7957,0.855558,12.811,0.462354,16.4536,0.927536,12.2671,0.303373,16.424,0.807782,9.83976,0.573765,12.7054,
1.02566,10.9809,0.54093,12.2787,0.270403,12.6068,0.657413,15.0416,0.870278,13.0297,0.470149,16.7234,0.94362,12.492,0.308524,16.7046,0.821154,10.0232,0.583565,12.9343,
1.04321,11.1759,0.549704,12.5127,0.274859,12.8576,0.66851,15.299,0.885165,13.2545,0.477801,16.9957,0.959255,12.706,0.313597,16.9885,0.834939,10.2127,0.593305,13.1624,
1.06101,11.3806,0.558052,12.7697,0.279266,13.1078,0.679246,15.5438,0.900143,13.4895,0.48504,17.3134,0.975296,12.9227,0.318656,17.2696,0.848094,10.4026,0.602891,13.3979,
1.0783,11.5772,0.565952,13.0026,0.28366,13.358,0.69021,15.7897,0.914755,13.7113,0.491872,17.6004,0.99041,13.1736,0.323712,17.5559,0.860783,10.618,0.611854,13.6645,
1.09585,11.7761,0.573828,13.2275,0.287821,13.6521,0.70063,16.0774,0.92971,13.9391,0.49859,17.8849,1.00465,13.4111,0.32853,17.8891,0.872942,10.8198,0.620351,13.9055,
1.11255,12.0022,0.581868,13.468,0.29176,13.9205,0.710371,16.349,0.943853,14.1979,0.50529,18.159,1.01864,13.6426,0.333023,18.2006,0.884902,11.0183,0.628793,14.1425,
1.12815,12.2205,0.588968,13.6932,0.295634,14.1818,0.719936,16.6096,0.956983,14.4467,0.51211,18.4646,1.03251,13.8734,0.337419,18.4976,0.896935,11.2194,0.6374,14.3862,
1.14353,12.4291,0.596212,13.9001,0.299524,14.4328,0.72941,16.8585,0.969936,14.6819,0.518825,18.745,1.04615,14.1063,0.341871,18.7883,0.908944,11.4247,0.645911,14.6336,
1.15856,12.6315,0.603226,14.1214,0.303513,14.7023,0.739133,17.1339,0.982846,14.922,0.525916,19.0547,1.05995,14.3431,0.346415,19.0916,0.920958,11.6305,0.654384,14.8815,
1.17421,12.8533,0.610282,14.3382,0.307505,14.9718,0.748574,17.4039,0.995698,15.1654,0.531979,19.3433,1.07385,14.5827,0.351025,19.41,0.931548,11.8285,0.662841,15.1211,
1.18936,13.0739,0.617394,14.561,0.311453,15.2478,0.758046,17.6737,1.00862,15.4108,0.537952,19.5957,1.08774,14.8188,0.355648,19.7399,0.941945,11.9994,0.671591,15.381,
1.20465,13.2907,0.624472,14.7827,0.315435,15.52,0.767492,17.9344,1.02154,15.6543,0.544088,19.8633,1.10188,15.0678,0.360159,20.0599,0.952807,12.186,0.679114,15.616,
1.21979,13.5078,0.631654,15.0046,0.319408,15.7994,0.777363,18.2127,1.03475,15.9095,0.550142,20.1391,1.11461,15.3038,0.364664,20.3736,0.963723,12.3794,0.686675,15.8323,
1.23549,13.7328,0.638932,15.2339,0.323337,16.0737,0.787283,18.5012,1.04798,16.1693,0.556227,20.4087,1.12725,15.5224,0.369174,20.695,0.974607,12.5746,0.69435,16.0585,
1.25136,13.9652,0.646226,15.4572,0.327263,16.3461,0.795977,18.7693,1.06138,16.4345,0.562341,20.6829,1.13997,15.75,0.373666,21.0073,0.985517,12.7708,0.702137,16.2922,
1.2654,14.1958,0.653497,15.6848,0.331227,16.6201,0.804489,19.0122,1.07474,16.7009,0.568524,20.9512,1.15286,15.9803,0.377664,21.2992,0.996471,12.9657,0.70996,16.5215,
1.27888,14.3881,0.66088,15.9126,0.335165,16.8947,0.813125,19.2627,1.08828,16.9703,0.574734,21.2255,1.16564,16.2139,0.381632,21.5631,1.00747,13.1589,0.717721,16.7537,
1.29266,14.5921,0.668344,16.14,0.339186,17.1677,0.821923,19.5156,1.10182,17.2532,0.580975,21.5108,1.1786,16.4453,0.385702,21.8459,1.01858,13.3567,0.725567,16.9869,
1.30669,14.7999,0.675778,16.3682,0.343226,17.4388,0.830737,19.7785,1.11503,17.5202,0.587083,21.7758,1.1917,16.6944,0.389761,22.1273,1.02971,13.554,0.733578,17.2206,
1.32085,15.0131,0.68323,16.5943,0.347261,17.7151,0.839627,20.045,1.12849,17.8047,0.593382,22.0448,1.2045,16.9266,0.3939,22.4056,1.04095,13.7515,0.741646,17.4535,
1.335,15.2323,0.69076,16.8217,0.351319,17.9923,0.848584,20.323,1.14179,18.0786,0.599747,22.326,1.21761,17.166,0.398002,22.6877,1.05216,13.9513,0.749752,17.6886,
1.3494,15.4529,0.698342,17.05,0.355483,18.2629,0.857248,20.5835,1.15571,18.3782,0.60622,22.6084,1.23077,17.4163,0.402096,22.9689,1.06352,14.1486,0.757825,17.9249,
1.3638,15.6769,0.706051,17.2767,0.359743,18.5467,0.866307,20.8539,1.16946,18.6711,0.612637,22.8947,1.24412,17.6655,0.406268,23.2441,1.07507,14.3497,0.765978,18.1657,
1.37833,15.9059,0.713823,17.5064,0.363961,18.8258,0.87545,21.1471,1.18363,18.9843,0.619226,23.1938,1.25763,17.9305,0.410596,23.5274,1.08661,14.5533,0.774011,18.3941,
1.39306,16.1462,0.721682,17.7334,0.368176,19.1,0.884416,21.4201,1.1974,19.3017,0.625671,23.4727,1.27073,18.187,0.414831,23.8167,1.09839,14.763,0.782227,18.6256,
1.40727,16.38,0.729576,17.9632,0.372485,19.3728,0.893628,21.7002,1.21142,19.6061,0.632325,23.7565,1.28401,18.4385,0.419123,24.0918,1.10978,14.9669,0.790578,18.8609,
1.42166,16.608,0.737546,18.1928,0.376851,19.6453,0.90295,21.9933,1.22551,19.9243,0.639009,24.0663,1.29741,18.693,0.423432,24.3713,1.12135,15.1595,0.799015,19.1018,
1.43611,16.8316,0.745454,18.424,0.381203,19.9189,0.912275,22.2992,1.23964,20.2449,0.645681,24.3491,1.3109,18.9501,0.427737,24.6485,1.13337,15.3643,0.807537,19.3532,
1.45107,17.0755,0.753599,18.6517,0.385628,20.1899,0.921561,22.5947,1.25399,20.5687,0.652545,24.6425,1.32447,19.2109,0.43213,24.9248,1.14544,15.5762,0.815946,19.5984,
1.46582,17.3177,0.761781,18.8989,0.39011,20.4564,0.930761,22.8864,1.2685,20.895,0.659294,24.9598,1.33825,19.4686,0.436522,25.2048,1.15771,15.7883,0.82429,19.8358,
1.48066,17.5546,0.769787,19.133,0.394678,20.7283,0.939991,23.1761,1.28331,21.2292,0.666098,25.2538,1.35219,19.7318,0.440988,25.4788,1.16995,16.0115,0.832837,20.0669,
1.49554,17.7935,0.777802,19.356,0.399238,21.0017,0.949472,23.4744,1.29793,21.5697,0.672763,25.5518,1.36608,19.9939,0.44547,25.7742,1.18202,16.2166,0.841429,20.3135,
